[2025-06-25 07:41:51] 🔁 Neues Training mit max_steps=167000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 08:05:51] 🔁 Neues Training mit max_steps=168000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 08:27:51] 🔁 Neues Training mit max_steps=169000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 08:51:51] 🔁 Neues Training mit max_steps=170000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 09:15:51] 🔁 Neues Training mit max_steps=171000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 09:37:51] 🔁 Neues Training mit max_steps=172000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 10:01:51] 🔁 Neues Training mit max_steps=173000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 10:25:51] 🔁 Neues Training mit max_steps=174000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 10:51:52] 🔁 Neues Training mit max_steps=175000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 11:11:52] 🔁 Neues Training mit max_steps=176000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 11:29:52] 🔁 Neues Training mit max_steps=177000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 11:47:52] 🔁 Neues Training mit max_steps=178000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 12:05:52] 🔁 Neues Training mit max_steps=179000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 12:23:52] 🔁 Neues Training mit max_steps=180000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 12:41:52] 🔁 Neues Training mit max_steps=181000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

[2025-06-25 12:59:52] 🔁 Neues Training mit max_steps=182000000, learning_rate=0.00094, beta=0.08912, epsilon=0.2114

